NAME,MPG,CYLINDERS,DISPLACEMENT,HORSEPOWER,WEIGHT,ACCELERATION,MODEL_YEAR,ORIGIN
CHEVROLET CHEVELLE MALIBU,18,8,307,130,3504,12,70,USA
BUICK SKYLARK 320,15,8,350,165,3693,11.5,70,USA
PLYMOUTH SATELLITE,18,8,318,150,3436,11,70,USA
AMC REBEL SST,16,8,304,150,3433,12,70,USA
FORD TORINO,17,8,302,140,3449,10.5,70,USA
FORD GALAXIE 500,15,8,429,198,4341,10,70,USA
CHEVROLET IMPALA,14,8,454,220,4354,9,70,USA
PLYMOUTH FURY III,14,8,440,215,4312,8.5,70,USA
PONTIAC CATALINA,14,8,455,225,4425,10,70,USA
AMC AMBASSADOR DPL,15,8,390,190,3850,8.5,70,USA
DODGE CHALLENGER SE,15,8,383,170,3563,10,70,USA
PLYMOUTH 'CUDA 340,14,8,340,160,3609,8,70,USA
CHEVROLET MONTE CARLO,15,8,400,150,3761,9.5,70,USA
BUICK ESTATE WAGON (SW),14,8,455,225,3086,10,70,USA
TOYOTA CORONA MARK II,24,4,113,95,2372,15,70,JAPAN
PLYMOUTH DUSTER,22,6,198,95,2833,15.5,70,USA
AMC HORNET,18,6,199,97,2774,15.5,70,USA
FORD MAVERICK,21,6,200,85,2587,16,70,USA
DATSUN PL510,27,4,97,88,2130,14.5,70,JAPAN
VOLKSWAGEN 1131 DELUXE SEDAN,26,4,97,46,1835,20.5,70,EUROPE
PEUGEOT 504,25,4,110,87,2672,17.5,70,EUROPE
AUDI 100 LS,24,4,107,90,2430,14.5,70,EUROPE
SAAB 99E,25,4,104,95,2375,17.5,70,EUROPE
BMW 2002,26,4,121,113,2234,12.5,70,EUROPE
AMC GREMLIN,21,6,199,90,2648,15,70,USA
FORD F250,10,8,360,215,4615,14,70,USA
CHEVY C20,10,8,307,200,4376,15,70,USA
DODGE D200,11,8,318,210,4382,13.5,70,USA
HI 1200D,9,8,304,193,4732,18.5,70,USA
DATSUN PL510,27,4,97,88,2130,14.5,71,JAPAN
CHEVROLET VEGA 2300,28,4,140,90,2264,15.5,71,USA
TOYOTA CORONA,25,4,113,95,2228,14,71,JAPAN
FORD PINTO,25,4,98,,2046,19,71,USA
AMC GREMLIN,19,6,232,100,2634,13,71,USA
PLYMOUTH SATELLITE CUSTOM,16,6,225,105,3439,15.5,71,USA
CHEVROLET CHEVELLE MALIBU,17,6,250,100,3329,15.5,71,USA
FORD TORINO 500,19,6,250,88,3302,15.5,71,USA
AMC MATADOR,18,6,232,100,3288,15.5,71,USA
CHEVROLET IMPALA,14,8,350,165,4209,12,71,USA
PONTIAC CATALINA BROUGHAM,14,8,400,175,4464,11.5,71,USA
FORD GALAXIE 500,14,8,351,153,4154,13.5,71,USA
PLYMOUTH FURY III,14,8,318,150,4096,13,71,USA
DODGE MONACO (SW),12,8,383,180,4955,11.5,71,USA
FORD COUNTRY SQUIRE (SW),13,8,400,170,4746,12,71,USA
PONTIAC SAFARI (SW),13,8,400,175,5140,12,71,USA
AMC HORNET SPORTABOUT (SW),18,6,258,110,2962,13.5,71,USA
CHEVROLET VEGA (SW),22,4,140,72,2408,19,71,USA
PONTIAC FIREBIRD,19,6,250,100,3282,15,71,USA
FORD MUSTANG,18,6,250,88,3139,14.5,71,USA
MERCURY CAPRI 2000,23,4,122,86,2220,14,71,USA
OPEL 1900,28,4,116,90,2123,14,71,EUROPE
PEUGEOT 304,30,4,79,70,2074,19.5,71,EUROPE
FIAT 124B,30,4,88,76,2065,14.5,71,EUROPE
TOYOTA COROLLA 1200,31,4,71,65,1773,19,71,JAPAN
DATSUN 1200,35,4,72,69,1613,18,71,JAPAN
VOLKSWAGEN MODEL 111,27,4,97,60,1834,19,71,EUROPE
PLYMOUTH CRICKET,26,4,91,70,1955,20.5,71,USA
TOYOTA CORONA HARDTOP,24,4,113,95,2278,15.5,72,JAPAN
DODGE COLT HARDTOP,25,4,97.5,80,2126,17,72,USA
VOLKSWAGEN TYPE 3,23,4,97,54,2254,23.5,72,EUROPE
CHEVROLET VEGA,20,4,140,90,2408,19.5,72,USA
FORD PINTO RUNABOUT,21,4,122,86,2226,16.5,72,USA
CHEVROLET IMPALA,13,8,350,165,4274,12,72,USA
PONTIAC CATALINA,14,8,400,175,4385,12,72,USA
PLYMOUTH FURY III,15,8,318,150,4135,13.5,72,USA
FORD GALAXIE 500,14,8,351,153,4129,13,72,USA
AMC AMBASSADOR SST,17,8,304,150,3672,11.5,72,USA
MERCURY MARQUIS,11,8,429,208,4633,11,72,USA
BUICK LESABRE CUSTOM,13,8,350,155,4502,13.5,72,USA
OLDSMOBILE DELTA 88 ROYALE,12,8,350,160,4456,13.5,72,USA
CHRYSLER NEWPORT ROYAL,13,8,400,190,4422,12.5,72,USA
MAZDA RX2 COUPE,19,3,70,97,2330,13.5,72,JAPAN
AMC MATADOR (SW),15,8,304,150,3892,12.5,72,USA
CHEVROLET CHEVELLE CONCOURS (SW),13,8,307,130,4098,14,72,USA
FORD GRAN TORINO (SW),13,8,302,140,4294,16,72,USA
PLYMOUTH SATELLITE CUSTOM (SW),14,8,318,150,4077,14,72,USA
VOLVO 145E (SW),18,4,121,112,2933,14.5,72,EUROPE
VOLKSWAGEN 411 (SW),22,4,121,76,2511,18,72,EUROPE
PEUGEOT 504 (SW),21,4,120,87,2979,19.5,72,EUROPE
RENAULT 12 (SW),26,4,96,69,2189,18,72,EUROPE
FORD PINTO (SW),22,4,122,86,2395,16,72,USA
DATSUN 510 (SW),28,4,97,92,2288,17,72,JAPAN
TOYOUTA CORONA MARK II (SW),23,4,120,97,2506,14.5,72,JAPAN
DODGE COLT (SW),28,4,98,80,2164,15,72,USA
TOYOTA COROLLA 1600 (SW),27,4,97,88,2100,16.5,72,JAPAN
BUICK CENTURY 350,13,8,350,175,4100,13,73,USA
AMC MATADOR,14,8,304,150,3672,11.5,73,USA
CHEVROLET MALIBU,13,8,350,145,3988,13,73,USA
FORD GRAN TORINO,14,8,302,137,4042,14.5,73,USA
DODGE CORONET CUSTOM,15,8,318,150,3777,12.5,73,USA
MERCURY MARQUIS BROUGHAM,12,8,429,198,4952,11.5,73,USA
CHEVROLET CAPRICE CLASSIC,13,8,400,150,4464,12,73,USA
FORD LTD,13,8,351,158,4363,13,73,USA
PLYMOUTH FURY GRAN SEDAN,14,8,318,150,4237,14.5,73,USA
CHRYSLER NEW YORKER BROUGHAM,13,8,440,215,4735,11,73,USA
BUICK ELECTRA 225 CUSTOM,12,8,455,225,4951,11,73,USA
AMC AMBASSADOR BROUGHAM,13,8,360,175,3821,11,73,USA
PLYMOUTH VALIANT,18,6,225,105,3121,16.5,73,USA
CHEVROLET NOVA CUSTOM,16,6,250,100,3278,18,73,USA
AMC HORNET,18,6,232,100,2945,16,73,USA
FORD MAVERICK,18,6,250,88,3021,16.5,73,USA
PLYMOUTH DUSTER,23,6,198,95,2904,16,73,USA
VOLKSWAGEN SUPER BEETLE,26,4,97,46,1950,21,73,EUROPE
CHEVROLET IMPALA,11,8,400,150,4997,14,73,USA
FORD COUNTRY,12,8,400,167,4906,12.5,73,USA
PLYMOUTH CUSTOM SUBURB,13,8,360,170,4654,13,73,USA
OLDSMOBILE VISTA CRUISER,12,8,350,180,4499,12.5,73,USA
AMC GREMLIN,18,6,232,100,2789,15,73,USA
TOYOTA CARINA,20,4,97,88,2279,19,73,JAPAN
CHEVROLET VEGA,21,4,140,72,2401,19.5,73,USA
DATSUN 610,22,4,108,94,2379,16.5,73,JAPAN
MAXDA RX3,18,3,70,90,2124,13.5,73,JAPAN
FORD PINTO,19,4,122,85,2310,18.5,73,USA
MERCURY CAPRI V6,21,6,155,107,2472,14,73,USA
FIAT 124 SPORT COUPE,26,4,98,90,2265,15.5,73,EUROPE
CHEVROLET MONTE CARLO S,15,8,350,145,4082,13,73,USA
PONTIAC GRAND PRIX,16,8,400,230,4278,9.5,73,USA
FIAT 128,29,4,68,49,1867,19.5,73,EUROPE
OPEL MANTA,24,4,116,75,2158,15.5,73,EUROPE
AUDI 100LS,20,4,114,91,2582,14,73,EUROPE
VOLVO 144EA,19,4,121,112,2868,15.5,73,EUROPE
DODGE DART CUSTOM,15,8,318,150,3399,11,73,USA
SAAB 99LE,24,4,121,110,2660,14,73,EUROPE
TOYOTA MARK II,20,6,156,122,2807,13.5,73,JAPAN
OLDSMOBILE OMEGA,11,8,350,180,3664,11,73,USA
PLYMOUTH DUSTER,20,6,198,95,3102,16.5,74,USA
FORD MAVERICK,21,6,200,,2875,17,74,USA
AMC HORNET,19,6,232,100,2901,16,74,USA
CHEVROLET NOVA,15,6,250,100,3336,17,74,USA
DATSUN B210,31,4,79,67,1950,19,74,JAPAN
FORD PINTO,26,4,122,80,2451,16.5,74,USA
TOYOTA COROLLA 1200,32,4,71,65,1836,21,74,JAPAN
CHEVROLET VEGA,25,4,140,75,2542,17,74,USA
CHEVROLET CHEVELLE MALIBU CLASSIC,16,6,250,100,3781,17,74,USA
AMC MATADOR,16,6,258,110,3632,18,74,USA
PLYMOUTH SATELLITE SEBRING,18,6,225,105,3613,16.5,74,USA
FORD GRAN TORINO,16,8,302,140,4141,14,74,USA
BUICK CENTURY LUXUS (SW),13,8,350,150,4699,14.5,74,USA
DODGE CORONET CUSTOM (SW),14,8,318,150,4457,13.5,74,USA
FORD GRAN TORINO (SW),14,8,302,140,4638,16,74,USA
AMC MATADOR (SW),14,8,304,150,4257,15.5,74,USA
AUDI FOX,29,4,98,83,2219,16.5,74,EUROPE
VOLKSWAGEN DASHER,26,4,79,67,1963,15.5,74,EUROPE
OPEL MANTA,26,4,97,78,2300,14.5,74,EUROPE
TOYOTA CORONA,31,4,76,52,1649,16.5,74,JAPAN
DATSUN 710,32,4,83,61,2003,19,74,JAPAN
DODGE COLT,28,4,90,75,2125,14.5,74,USA
FIAT 128,24,4,90,75,2108,15.5,74,EUROPE
FIAT 124 TC,26,4,116,75,2246,14,74,EUROPE
HONDA CIVIC,24,4,120,97,2489,15,74,JAPAN
SUBARU,26,4,108,93,2391,15.5,74,JAPAN
FIAT X1.9,31,4,79,67,2000,16,74,EUROPE
PLYMOUTH VALIANT CUSTOM,19,6,225,95,3264,16,75,USA
CHEVROLET NOVA,18,6,250,105,3459,16,75,USA
MERCURY MONARCH,15,6,250,72,3432,21,75,USA
FORD MAVERICK,15,6,250,72,3158,19.5,75,USA
PONTIAC CATALINA,16,8,400,170,4668,11.5,75,USA
